Sep 27 2014,Ohio State,50,Cincinnati,28
Sep 27 2014,Rice,41,Southern Mississippi,23
Sep 27 2014,Rutgers,31,Tulane,6
Sep 27 2014,San Diego State,34,Nevada-Las Vegas,17
Sep 27 2014,South Alabama,34,Idaho,10
Sep 27 2014,Southern California,35,Oregon State,10
Sep 27 2014,Stanford,20,Washington,13
Sep 27 2014,Temple,36,Connecticut,10
Sep 27 2014,Texas,23,Kansas,0
Sep 27 2014,Texas A&M,35,Arkansas,28
Sep 27 2014,Texas Christian,56,Southern Methodist,0
Sep 27 2014,Texas State,37,Tulsa,34
Sep 27 2014,Toledo,42,Central Michigan,28
Sep 27 2014,Virginia,45,Kent State,13
Sep 27 2014,Virginia Tech,35,Western Michigan,17
Sep 27 2014,Washington State,28,Utah,27
Sep 27 2014,Western Kentucky,36,Navy,27
Sep 27 2014,Wisconsin,27,South Florida,10
Sep 27 2014,Yale,49,Army,43
Oct 2 2014,Arizona,31,Oregon,24
Oct 2 2014,Central Florida,17,Houston,12
Oct 2 2014,Florida International,38,Florida Atlantic,10
Oct 3 2014,Fresno State,24,San Diego State,13
Oct 3 2014,Louisville,28,Syracuse,6
Oct 3 2014,Utah State,35,Brigham Young,20
Oct 4 2014,Air Force,30,Navy,21
Oct 4 2014,Akron,31,Eastern Michigan,6
Oct 4 2014,Alabama-Birmingham,42,Western Kentucky,39
Oct 4 2014,Arizona State,38,Southern California,34
Oct 4 2014,Arkansas State,28,Louisiana-Monroe,14
Oct 4 2014,Army,33,Ball State,24
Oct 4 2014,Auburn,41,Louisiana State,7
Oct 4 2014,Baylor,28,Texas,7
Oct 4 2014,Boise State,51,Nevada,46
Oct 4 2014,Bowling Green State,36,Buffalo,35
Oct 4 2014,California,60,Washington State,59
Oct 4 2014,Central Michigan,28,Ohio,10
Oct 4 2014,Clemson,41,North Carolina State,0
Oct 4 2014,Colorado State,42,Tulsa,17
Oct 4 2014,East Carolina,45,Southern Methodist,24
Oct 4 2014,Florida,10,Tennessee,9
Oct 4 2014,Florida State,43,Wake Forest,3
Oct 4 2014,Georgia,44,Vanderbilt,17
Oct 4 2014,Georgia Southern,36,New Mexico State,28
Oct 4 2014,Georgia Tech,28,Miami (FL),17
Oct 4 2014,Indiana,49,North Texas,24
Oct 4 2014,Kansas State,45,Texas Tech,13
Oct 4 2014,Kentucky,45,South Carolina,38
Oct 4 2014,Louisiana Tech,55,Texas-El Paso,3
Oct 4 2014,Louisiana-Lafayette,34,Georgia State,31
Oct 4 2014,Marshall,56,Old Dominion,14
Oct 4 2014,Memphis,41,Cincinnati,14
Oct 4 2014,Miami (OH),42,Massachusetts,41
Oct 4 2014,Michigan State,27,Nebraska,22
Oct 4 2014,Middle Tennessee State,37,Southern Mississippi,31
Oct 4 2014,Mississippi,23,Alabama,17
Oct 4 2014,Mississippi State,48,Texas A&M,31
Oct 4 2014,New Mexico,21,Texas-San Antonio,9
Oct 4 2014,Northern Illinois,17,Kent State,14
Oct 4 2014,Northwestern,20,Wisconsin,14
Oct 4 2014,Notre Dame,17,Stanford,14
Oct 4 2014,Ohio State,52,Maryland,24
Oct 4 2014,Oklahoma State,37,Iowa State,20
Oct 4 2014,Oregon State,36,Colorado,31
Oct 4 2014,Purdue,38,Illinois,27
Oct 4 2014,Rice,28,Hawaii,14
Oct 4 2014,Rutgers,26,Michigan,24
Oct 4 2014,San Jose State,33,Nevada-Las Vegas,10
Oct 4 2014,South Alabama,47,Appalachian State,21
Oct 4 2014,Texas Christian,37,Oklahoma,33
Oct 4 2014,Texas State,35,Idaho,30
Oct 4 2014,Toledo,20,Western Michigan,19
Oct 4 2014,Utah,30,UCLA,28
Oct 4 2014,Virginia,24,Pittsburgh,19
Oct 4 2014,Virginia Tech,34,North Carolina,17
Oct 4 2014,West Virginia,33,Kansas,14
Oct 9 2014,Central Florida,31,Brigham Young,24
Oct 10 2014,Nevada-Las Vegas,30,Fresno State,27
Oct 10 2014,San Diego State,24,New Mexico,14
Oct 10 2014,Stanford,34,Washington State,17
Oct 11 2014,Akron,29,Miami (OH),19
Oct 11 2014,Alabama,14,Arkansas,13
Oct 11 2014,Alabama-Birmingham,56,North Texas,21
Oct 11 2014,Arkansas State,52,Georgia State,10
Oct 11 2014,Baylor,61,Texas Christian,58
Oct 11 2014,Boston College,30,North Carolina State,14
Oct 11 2014,Bowling Green State,31,Ohio,13
Oct 11 2014,Central Michigan,34,Northern Illinois,17
Oct 11 2014,Clemson,23,Louisville,17
Oct 11 2014,Colorado State,31,Nevada,24
Oct 11 2014,Duke,31,Georgia Tech,25
Oct 11 2014,East Carolina,28,South Florida,17
Oct 11 2014,Eastern Michigan,37,Buffalo,27
Oct 11 2014,Florida State,38,Syracuse,20
Oct 11 2014,Georgia,34,Missouri,0
Oct 11 2014,Georgia Southern,47,Idaho,24
Oct 11 2014,Hawaii,38,Wyoming,28
Oct 11 2014,Houston,28,Memphis,24
Oct 11 2014,Iowa,45,Indiana,29
Oct 11 2014,Iowa State,37,Toledo,30
Oct 11 2014,Kentucky,48,Louisiana-Monroe,14
Oct 11 2014,Liberty,55,Appalachian State,48
Oct 11 2014,Louisiana State,30,Florida,27
Oct 11 2014,Marshall,49,Middle Tennessee State,24
Oct 11 2014,Massachusetts,40,Kent State,17
Oct 11 2014,Miami (FL),55,Cincinnati,34
Oct 11 2014,Michigan,18,Penn State,13
Oct 11 2014,Michigan State,45,Purdue,31
Oct 11 2014,Minnesota,24,Northwestern,17
Oct 11 2014,Mississippi,35,Texas A&M,20
Oct 11 2014,Mississippi State,38,Auburn,23
Oct 11 2014,Navy,51,Virginia Military Institute,14
Oct 11 2014,Notre Dame,50,North Carolina,43
Oct 11 2014,Oklahoma,31,Texas,26
Oct 11 2014,Oklahoma State,27,Kansas,20
Oct 11 2014,Oregon,42,UCLA,30
Oct 11 2014,Rice,41,Army,21
Oct 11 2014,Southern California,28,Arizona,26
Oct 11 2014,Temple,35,Tulsa,24
Oct 11 2014,Tennessee,45,Chattanooga,10
Oct 11 2014,Texas-El Paso,42,Old Dominion,35
Oct 11 2014,Texas-San Antonio,16,Florida International,13
Oct 11 2014,Troy,41,New Mexico State,24
Oct 11 2014,Tulane,12,Connecticut,3
Oct 11 2014,Utah State,34,Air Force,16
Oct 11 2014,Vanderbilt,21,Charleston Southern,20
Oct 11 2014,Washington,31,California,7
Oct 11 2014,West Virginia,37,Texas Tech,34
Oct 11 2014,Western Michigan,42,Ball State,38
Oct 11 2014,Wisconsin,38,Illinois,28
Oct 14 2014,Louisiana-Lafayette,34,Texas State,10
Oct 16 2014,Pittsburgh,21,Virginia Tech,16
Oct 16 2014,Utah,29,Oregon State,23
Oct 17 2014,Boise State,37,Fresno State,27
Oct 17 2014,Houston,31,Temple,10
Oct 18 2014,Air Force,35,New Mexico,31
Oct 18 2014,Alabama,59,Texas A&M,0
Oct 18 2014,Appalachian State,53,Troy,14
Oct 18 2014,Arizona State,26,Stanford,10
Oct 18 2014,Ball State,32,Central Michigan,29
Oct 18 2014,Central Florida,20,Tulane,13
Oct 18 2014,Cincinnati,41,Southern Methodist,3
Oct 18 2014,Clemson,17,Boston College,13
Oct 18 2014,Colorado State,16,Utah State,13
Oct 18 2014,Duke,20,Virginia,13
Oct 18 2014,Florida Atlantic,45,Western Kentucky,38
Oct 18 2014,Florida State,31,Notre Dame,27
Oct 18 2014,Georgia,45,Arkansas,32
Oct 18 2014,Idaho,29,New Mexico State,17
Oct 18 2014,Kansas State,31,Oklahoma,30
Oct 18 2014,Kent State,39,Army,17
Oct 18 2014,Louisiana State,41,Kentucky,3
Oct 18 2014,Louisiana Tech,27,Texas-San Antonio,20
Oct 18 2014,Louisville,30,North Carolina State,18
Oct 18 2014,Marshall,45,Florida International,13
Oct 18 2014,Maryland,38,Iowa,31
Oct 18 2014,Massachusetts,36,Eastern Michigan,14
Oct 18 2014,Michigan State,56,Indiana,17
Oct 18 2014,Middle Tennessee State,34,Alabama-Birmingham,22
Oct 18 2014,Minnesota,39,Purdue,38
Oct 18 2014,Mississippi,34,Tennessee,3
Oct 18 2014,Missouri,42,Florida,13
Oct 18 2014,Nebraska,38,Northwestern,17
Oct 18 2014,Nevada,42,Brigham Young,35
Oct 18 2014,North Carolina,48,Georgia Tech,43
Oct 18 2014,Northern Illinois,51,Miami (OH),41
Oct 18 2014,Ohio,23,Akron,20
Oct 18 2014,Ohio State,56,Rutgers,17
Oct 18 2014,Oregon,45,Washington,20
Oct 18 2014,San Diego State,20,Hawaii,10
Oct 18 2014,San Jose State,27,Wyoming,20
Oct 18 2014,South Alabama,30,Georgia State,27
Oct 18 2014,South Carolina,41,Furman,10
Oct 18 2014,South Florida,38,Tulsa,30
Oct 18 2014,Southern California,56,Colorado,28
Oct 18 2014,Southern Mississippi,30,North Texas,20
Oct 18 2014,Syracuse,30,Wake Forest,7
Oct 18 2014,Texas,48,Iowa State,45
Oct 18 2014,Texas Christian,42,Oklahoma State,9
Oct 18 2014,Texas Tech,34,Kansas,21
Oct 18 2014,UCLA,36,California,34
Oct 18 2014,West Virginia,41,Baylor,27
Oct 18 2014,Western Michigan,26,Bowling Green State,14
Oct 21 2014,Louisiana-Lafayette,55,Arkansas State,40
Oct 23 2014,East Carolina,31,Connecticut,21
Oct 23 2014,Miami (FL),30,Virginia Tech,6
Oct 24 2014,Boise State,55,Brigham Young,30
Oct 24 2014,Cincinnati,34,South Florida,17
Oct 24 2014,Oregon,59,California,41
Oct 24 2014,South Alabama,27,Troy,13
Oct 25 2014,Alabama,34,Tennessee,20
Oct 25 2014,Arizona,59,Washington State,37
Oct 25 2014,Arizona State,24,Washington,10
Oct 25 2014,Arkansas,45,Alabama-Birmingham,17
Oct 25 2014,Auburn,42,South Carolina,35
Oct 25 2014,Ball State,35,Akron,21
Oct 25 2014,Boston College,23,Wake Forest,17
Oct 25 2014,Central Florida,34,Temple,14
Oct 25 2014,Central Michigan,20,Buffalo,14
Oct 25 2014,Clemson,16,Syracuse,6
Oct 25 2014,Colorado State,45,Wyoming,31
Oct 25 2014,Georgia Southern,69,Georgia State,31
Oct 25 2014,Georgia Tech,56,Pittsburgh,28
Oct 25 2014,Illinois,28,Minnesota,24
Oct 25 2014,Kansas State,23,Texas,0
Oct 25 2014,Louisiana State,10,Mississippi,7
Oct 25 2014,Louisiana Tech,31,Southern Mississippi,20
Oct 25 2014,Marshall,35,Florida Atlantic,16
Oct 25 2014,Memphis,48,Southern Methodist,10
Oct 25 2014,Miami (OH),10,Kent State,3
Oct 25 2014,Michigan State,35,Michigan,11
Oct 25 2014,Mississippi State,45,Kentucky,31
Oct 25 2014,Missouri,24,Vanderbilt,14
Oct 25 2014,Navy,41,San Jose State,31
Oct 25 2014,Nebraska,42,Rutgers,24
Oct 25 2014,Nevada,26,Hawaii,18
Oct 25 2014,North Carolina,28,Virginia,27
Oct 25 2014,Northern Illinois,28,Eastern Michigan,17
Oct 25 2014,Ohio State,31,Penn State,24
Oct 25 2014,Rice,41,North Texas,21
Oct 25 2014,Stanford,38,Oregon State,14
Oct 25 2014,Texas Christian,82,Texas Tech,27
Oct 25 2014,Texas State,22,Louisiana-Monroe,18
Oct 25 2014,Texas-El Paso,34,Texas-San Antonio,0
Oct 25 2014,Toledo,42,Massachusetts,35
Oct 25 2014,UCLA,40,Colorado,37
Oct 25 2014,Utah,24,Southern California,21
Oct 25 2014,Utah State,34,Nevada-Las Vegas,20
Oct 25 2014,West Virginia,34,Oklahoma State,10
Oct 25 2014,Western Kentucky,66,Old Dominion,51
Oct 25 2014,Western Michigan,42,Ohio,21
Oct 25 2014,Wisconsin,52,Maryland,7
Oct 30 2014,Florida State,42,Louisville,31
Oct 30 2014,Georgia Southern,42,Troy,10
Oct 31 2014,Cincinnati,38,Tulane,14
Oct 31 2014,Memphis,40,Tulsa,20
Nov 1 2014,Air Force,23,Army,6
Nov 1 2014,Alabama-Birmingham,31,Florida Atlantic,28
Nov 1 2014,Appalachian State,44,Georgia State,0
Nov 1 2014,Arizona State,19,Utah,16
Nov 1 2014,Arkansas State,44,Idaho,28
Nov 1 2014,Auburn,35,Mississippi,31
Nov 1 2014,Baylor,60,Kansas,14
